question,predicted_marks
What is Metamask? Illustrate in detail,6
Explain Smart Contracts and its types?,6
List & explain types of crypto currency,5
explain in detail following blockchain platform i)Public ii)Private iii)Consortium iv)IoTA,5
Give the difference between cold wallet and hot wallet,4
What is Ethereum Virtual Machine?,4
List & explain types of crypto currency,5
explain in detail following blockchain platform i)Public ii)Private iii)Consortium iv)IoTA,5
Explain in detail crypto wallets,5
State and explain the various components of Ethereum.,5
Discuss limitations of centralised systems,5
How blockchain Technology can be useful for storing electronic health record? give any example of it.,5
